"instant","dteday","season","yr","mnth","weekday","workingday","weathersit","temp","hum","windspeed","casual","registered","cnt"
6,"2011-01-06",1,0,1,4,1,1,7.969572,51.8261,6.0008684,132.124650161852,1347.83823811269,1479.96288827454
18,"2011-01-18",1,0,1,2,1,2,8.450013,86.1667,9.833925,75.5960226156335,1257.64842179021,1333.24444440585
24,"2011-01-24",1,0,1,1,1,1,3.7982607,49.1739,10.60811,44.1382785839526,1356.23543629732,1400.37371488127
28,"2011-01-28",1,0,1,5,1,2,7.935642,79.3043,8.2611,66.4242547351498,1257.15010871832,1323.57436345347
29,"2011-01-29",1,0,1,6,0,1,7.664358,65.1739,9.739455,190.963867146508,1071.7549112489,1262.71877839541
35,"2011-02-04",1,0,2,5,1,2,8.240856,58.5217,8.565213,129.021651597514,1542.43330485582,1671.45495645333
37,"2011-02-06",1,0,2,0,0,1,11.147487,56.8333,9.5006,440.289213702185,1248.11322815126,1688.40244185345
41,"2011-02-10",1,0,2,4,1,1,5.629572,43.7391,14.869645,64.8535263384342,1504.39717269293,1569.25069903136
49,"2011-02-18",1,0,2,5,1,1,20.345013,51.6667,17.749975,625.102962374007,2798.31619668295,3423.41915905696
58,"2011-02-27",1,0,2,0,0,1,13.395642,68,8.391616,495.775206966765,1235.93980196078,1731.71500892755
62,"2011-03-03",1,0,3,4,1,1,7.734987,31.8333,15.125518,274.912424757336,1618.10000309586,1893.01242785319
66,"2011-03-07",1,0,3,1,1,1,10.207821,55.1304,22.870584,180.453246003779,1622.81024882688,1803.26349483066
69,"2011-03-10",1,0,3,4,1,3,15.174549,20.468725,17.545759,330.940546268547,1792.05633807489,2122.99688434343
70,"2011-03-11",1,0,3,5,1,2,12.344358,64.9565,15.60899,263.15901986162,1828.97203569394,2092.13105555556
74,"2011-03-15",1,0,3,2,1,2,12.378249,65.5652,12.348703,267.614873490653,1750.40986842232,2018.02474191297
77,"2011-03-18",1,0,3,5,1,1,21.06,52.5217,15.478139,815.962091121403,2857.14496041921,3673.10705154062
79,"2011-03-20",1,0,3,0,0,1,12.9675,47.375,13.917307,661.05583106489,1387.38243370682,2048.43826477171
84,"2011-03-25",2,0,3,5,1,1,10.302513,49.5,15.458575,371.549904069121,2088.09203878802,2459.64194285714
86,"2011-03-27",2,0,3,0,0,2,9.868677,49.3913,12.3481,642.56357936508,1667.21328730159,2309.77686666667
88,"2011-03-29",2,0,3,2,1,1,11.7975,31.4167,15.208732,358.413185470087,2079.41505738706,2437.82824285714
89,"2011-03-30",2,0,3,3,1,2,11.7,64.6667,11.583496,369.714384615387,2061.77602564102,2431.49041025641
93,"2011-04-03",2,0,4,0,0,1,14.754987,48,12.208271,884.347336507937,2039.70797777778,2924.05531428572
94,"2011-04-04",2,0,4,1,1,1,22.359987,42.625,25.50095375,837.289967996436,3312.8975121623,4150.18748015873
95,"2011-04-05",2,0,4,2,1,2,16.152513,64.2083,25.50095375,417.287107126208,2158.64173040293,2575.92883752914
96,"2011-04-06",2,0,4,3,1,1,15.242487,47.0833,17.625221,578.896327878644,2490.21653164517,3069.11285952381
102,"2011-04-12",2,0,4,2,1,2,19.5975,73.9167,18.416893,725.84699247789,2900.55468768084,3626.40168015873
111,"2011-04-21",2,0,4,4,1,1,17.907513,40.7083,21.792286,912.180124252269,3060.71300908107,3972.89313333333
115,"2011-04-25",2,0,4,1,1,1,23.660013,77.6667,12.417311,870.94114344224,3151.85697560538,4022.79811904762
116,"2011-04-26",2,0,4,2,1,1,24.635013,72.9167,21.8755,790.459799247036,3126.30649085321,3916.76629010025
117,"2011-04-27",2,0,4,3,1,2,24.18,83.5417,20.9174,730.278589066268,2964.05206331468,3694.33065238095
118,"2011-04-28",2,0,4,4,1,2,24.0825,70.0833,21.500836,821.995895944575,3052.07580405542,3874.0717
124,"2011-05-04",2,0,5,3,1,2,16.152513,73.7083,22.042732,59.0222296536813,2486.78409285714,2545.80632251082
126,"2011-05-06",2,0,5,5,1,1,18.687513,59,15.292482,871.426864375819,3730.69914038609,4602.12600476191
131,"2011-05-11",2,0,5,3,1,1,21.1575,63.2917,8.083014,779.209698386162,3907.02878226243,4686.23848064859
140,"2011-05-20",2,0,5,5,1,1,20.930013,71.9583,8.375871,874.72489979031,3862.17632689003,4736.90122668034
142,"2011-05-22",2,0,5,0,0,1,23.562513,74.9583,9.916536,1533.15243921246,3001.5626779304,4534.71511714286
146,"2011-05-26",2,0,5,4,1,1,27.624987,67.75,13.376014,775.516246888621,3757.90073368782,4533.41698057644
152,"2011-06-01",2,0,6,3,1,2,29.802513,67.7083,13.875164,763.033926429123,3620.86493547564,4383.89886190476
153,"2011-06-02",2,0,6,4,1,1,27.885,30.5,19.583229,808.14517456288,4115.21075693895,4923.35593150183
158,"2011-06-07",2,0,6,2,1,1,27.5925,59.7917,12.583136,895.748188206573,3856.95617900954,4752.70436721612
159,"2011-06-08",2,0,6,3,1,1,30.257487,62.2083,9.166739,766.521641239533,3698.86307437883,4465.38471561837
170,"2011-06-19",2,0,6,0,0,2,27.267513,66.6667,6.834,1756.45525099753,3079.10605924778,4835.56131024531
171,"2011-06-20",2,0,6,1,1,2,24.765,74.625,10.416825,783.710345968846,3715.69173007733,4499.40207604618
187,"2011-07-06",3,0,7,3,1,1,28.08,74.3333,10.042161,808.377996649663,3831.63006271466,4640.00805936432
188,"2011-07-07",3,0,7,4,1,1,29.25,65.125,10.6664,773.620348755008,3722.14721107226,4495.76755982726
189,"2011-07-08",3,0,7,5,1,2,27.657513,75.7917,15.083643,805.863951429563,3536.23401913321,4342.09797056277
193,"2011-07-12",3,0,7,2,1,1,30.972513,55.9167,13.417018,760.906028514544,3708.90860512224,4469.81463363679
201,"2011-07-20",3,0,7,3,1,1,29.964987,70.7083,7.625739,796.186972949493,3710.03300377999,4506.21997672948
202,"2011-07-21",3,0,7,4,1,2,31.785,69.125,14.875407,796.210152824466,3455.35354717554,4251.5637
210,"2011-07-29",3,0,7,5,1,1,32.694987,54.25,11.667246,432.418554676315,3549.22013103797,3981.63868571428
212,"2011-07-31",3,0,7,0,0,1,31.427487,48.0833,11.042471,1569.63796255476,2919.79619664225,4489.43415919701
214,"2011-08-02",3,0,8,2,1,1,30.549987,49.125,13.79195,817.000161421514,3948.92811031051,4765.92827173202
215,"2011-08-03",3,0,8,3,1,2,28.535013,65.75,9.084061,870.962278291155,3762.30865406815,4633.27093235931
224,"2011-08-12",3,0,8,5,1,1,27.624987,41.5,8.416607,967.742032787984,4115.47141291909,5083.21344570707
225,"2011-08-13",3,0,8,6,0,2,26.747487,72.9583,14.167418,1620.67812893904,2801.56418277148,4422.24231171051
228,"2011-08-16",3,0,8,2,1,1,27.332487,57.8333,15.834043,938.67607913731,3851.26232744532,4789.93840658264
229,"2011-08-17",3,0,8,3,1,1,28.209987,57.5417,9.625689,909.856138662114,3901.79382948363,4811.64996814574
231,"2011-08-19",3,0,8,5,1,2,26.715,72.2917,9.333636,817.782511519963,3772.43896878307,4590.22148030303
234,"2011-08-22",3,0,8,1,1,1,26.975013,47,18.54225,951.527655975738,4032.61973450045,4984.14739047619
240,"2011-08-28",3,0,8,0,0,1,27.575301,56.1765,20.412153,1744.81989918026,3018.10648354701,4762.92638272727
244,"2011-09-01",3,0,9,4,1,1,25.545,63.9167,9.500332,790.644387392739,4032.07722777966,4822.7216151724
247,"2011-09-04",3,0,9,0,0,1,27.657513,74.2083,13.833289,1610.60391534188,2805.20356370574,4415.80747904762
250,"2011-09-07",3,0,9,3,1,3,23.367513,91.7083,6.5003936,432.545692207793,2757.24586666667,3189.79155887446
254,"2011-09-11",3,0,9,0,0,1,25.479987,71.375,7.708618,1782.51265072039,3100.99125213675,4883.50390285714
257,"2011-09-14",3,0,9,3,1,1,26.259987,69.7083,11.2091,713.782598728955,4016.58175690054,4730.36435562949
261,"2011-09-18",3,0,9,0,0,1,19.7925,69.5,11.958361,1554.79969907204,2983.4361037851,4538.23580285714
266,"2011-09-23",4,0,9,5,1,2,23.757513,97.25,5.2505689,694.101026455025,3321.02115925926,4015.12218571428
277,"2011-10-04",4,0,10,2,1,1,18.882513,71,13.792218,618.495489064589,3720.56664571354,4339.06213477813
279,"2011-10-06",4,0,10,4,1,1,19.272513,62.0833,9.041918,736.76606510947,3842.4109901423,4579.17705525177
280,"2011-10-07",4,0,10,5,1,1,19.922487,68.4167,1.5002439,1067.491097577,3884.38848624619,4951.87958382319
292,"2011-10-19",4,0,10,3,1,3,21.127821,89.5217,16.303713,265.319225,2351.35308928571,2616.67231428571
294,"2011-10-21",4,0,10,5,1,1,16.6725,57.4167,14.833532,484.850741893642,3286.36380334446,3771.2145452381
296,"2011-10-23",4,0,10,0,0,1,16.445013,74.125,6.6673375,1069.14774896375,2672.87835469925,3742.026103663
299,"2011-10-26",4,0,10,3,1,2,18.882513,72.0417,9.959014,581.821648641176,3654.40791203704,4236.22956067821
309,"2011-11-05",4,0,11,6,0,1,12.740013,51.9167,12.667154,822.747633466015,2621.96422367684,3444.71185714286
313,"2011-11-09",4,0,11,3,1,1,15.6,75.8333,4.1671186,422.780557517515,3527.98442342201,3950.76498093953
319,"2011-11-15",4,0,11,2,1,2,20.67,68.875,13.375411,526.255701587303,3673.77025555555,4200.02595714286
325,"2011-11-21",4,0,11,1,1,3,17.4525,91,9.249618,181.669109523809,1976.28433809524,2157.95344761905
334,"2011-11-30",4,0,11,3,1,1,12.675,61.3333,18.167586,210.559594993874,3242.75291691089,3453.31251190476
340,"2011-12-06",4,0,12,2,1,3,18.0375,94.9583,15.583061,236.954953246752,1895.39599437229,2132.35094761905
351,"2011-12-17",4,0,12,6,0,2,10.074987,56.0833,16.292189,720.728756838396,2483.6070447489,3204.3358015873
353,"2011-12-19",4,0,12,1,1,1,10.790013,63.75,11.584032,102.369272965263,3208.4064341776,3310.77570714286
355,"2011-12-21",1,0,12,3,1,2,16.704987,85.8333,14.8338,246.540126436781,1813.73170714286,2060.27183357964
356,"2011-12-22",1,0,12,4,1,2,16.509987,75.75,3.167425,336.639060319566,2210.14604945055,2546.78510977011
358,"2011-12-24",1,0,12,6,0,1,11.7975,54.25,12.750368,652.878744013707,1575.23474197012,2228.11348598383
362,"2011-12-28",1,0,12,3,1,1,11.66607,50.3913,19.695387,107.957010087625,2035.64746855922,2143.60447864684
372,"2012-01-07",1,1,1,6,0,1,15.339987,53.1667,11.708786,918.369480164741,3072.00063063871,3990.37011080345
378,"2012-01-13",1,1,1,5,1,1,10.692513,50.75,25.333236,-10.4187633552137,2913.75973901974,2903.34097566453
379,"2012-01-14",1,1,1,6,0,1,7.02,45.75,12.541261,315.176747343383,2360.6554420315,2675.83218937488
382,"2012-01-17",1,1,1,2,1,2,14.548677,71.6087,23.39171,129.95528637033,3171.07787237664,3301.03315874697
386,"2012-01-21",1,1,1,6,0,2,6.759987,83.125,14.917014,184.925956209151,2103.95918982259,2288.88514603175
394,"2012-01-29",1,1,1,0,0,1,11.0175,31.125,16.08335,511.426824455161,2435.22036095147,2946.64718540663
402,"2012-02-06",1,1,2,1,1,1,11.021751,62.2174,10.3046,116.661207422306,3418.67042280857,3535.33163023088
405,"2012-02-09",1,1,2,4,1,1,10.335,56.2083,13.000479,91.7833738636109,3347.61373215536,3439.39710601898
418,"2012-02-22",1,1,2,3,1,1,15.437487,56.7917,15.709557,346.914445185223,3889.14147108984,4236.05591627506
438,"2012-03-13",1,1,3,2,1,1,22.035,61.75,15.87565,808.632378608358,4851.54202827709,5660.17440688545
440,"2012-03-15",1,1,3,4,1,1,21.7425,57.9583,10.042161,908.283310582524,5058.10806535055,5966.39137593307
441,"2012-03-16",1,1,3,5,1,2,16.997487,84.2083,7.583864,684.569533110666,3677.49616991342,4362.06570302408
443,"2012-03-18",1,1,3,0,0,2,18.4275,81,8.501161,1231.97287968197,3525.49362984183,4757.46650952381
445,"2012-03-20",1,1,3,2,1,1,21.872487,80.7917,8.125157,886.367943771269,4821.44548692371,5707.81343069498
449,"2012-03-24",2,1,3,6,0,2,19.5975,88.5417,12.916461,1442.18084126984,3821.31920714286,5263.5000484127
456,"2012-03-31",2,1,3,6,0,2,16.542513,73.8333,16.791339,1340.3039440171,3599.58054444444,4939.88448846154
473,"2012-04-17",2,1,4,2,1,1,23.724987,39.0417,18.333143,1123.06364035297,5519.34898951716,6642.41262987013
474,"2012-04-18",2,1,4,3,1,2,18.069987,56.9167,11.250104,978.012570190124,5106.50205933329,6084.51462952342
478,"2012-04-22",2,1,4,0,0,3,15.470013,83.5417,23.084582,273.569208818471,2601.52364226378,2875.09285108225
479,"2012-04-23",2,1,4,1,1,2,12.545013,76.6667,20.334232,423.964481001591,3818.35784865209,4242.32232965368
480,"2012-04-24",2,1,4,2,1,1,16.119987,45.4167,16.708661,979.436420681173,4703.04033403633,5682.4767547175
481,"2012-04-25",2,1,4,3,1,1,18.590013,42.7917,7.959064,1155.36680587292,5360.63801429874,6516.00482017166
482,"2012-04-26",2,1,4,4,1,2,19.434987,75.6667,11.833875,1075.46856083543,5001.00270381658,6076.47126465202
490,"2012-05-04",2,1,5,5,1,1,24.4725,73.5417,10.916846,1330.79470022192,5536.23201634485,6867.02671656677
508,"2012-05-22",2,1,5,2,1,2,23.985,76.5833,7.917189,840.92402186459,4953.33545115128,5794.25947301587
515,"2012-05-29",2,1,5,2,1,1,28.1775,68.4583,19.7918,930.509106013022,5463.46831054542,6393.97741655844
520,"2012-06-03",2,1,6,0,0,1,23.4975,49.3333,12.333829,2517.64963434955,4377.50899075868,6895.15862510823
526,"2012-06-09",2,1,6,6,0,1,27.722487,43.7083,9.667229,3007.64560378505,4376.63591449334,7384.28151827839
530,"2012-06-13",2,1,6,3,1,1,25.577487,58.2083,22.999693,906.385829430315,5810.2060374528,6716.59186688312
536,"2012-06-19",2,1,6,2,1,1,26.844987,69,9.917139,1068.1951273905,5797.35408519691,6865.54921258741
539,"2012-06-22",3,1,6,5,1,1,30.3225,57.375,12.250414,1042.26475424646,5624.85529376751,6667.12004801397
545,"2012-06-28",3,1,6,4,1,1,29.217513,42.25,11.50055,1252.44864384946,5940.91603293112,7193.36467678058
549,"2012-07-02",3,1,7,1,1,1,30.485013,44.7083,13.082889,938.758790036819,5720.44259690489,6659.20138694171
553,"2012-07-06",3,1,7,5,1,1,32.304987,45.0833,9.791514,715.980361401302,5314.88286384932,6030.86322525062
561,"2012-07-14",3,1,7,6,0,2,27.429987,69.9167,9.626493,2497.277593706,4122.74797259437,6620.02556630036
562,"2012-07-15",3,1,7,0,0,1,29.087487,71.7917,11.166689,2490.67723308217,3996.43080501307,6487.10803809524
571,"2012-07-24",3,1,7,2,1,1,29.282487,65.5,14.167418,942.444099900507,5824.02322005911,6766.46731995962
579,"2012-08-01",3,1,8,3,1,1,27.9825,67.75,9.458993,1106.45311809496,6119.11844587534,7225.57156397029
585,"2012-08-07",3,1,8,2,1,2,28.697487,70.375,7.832836,877.844965182715,5812.68307767443,6690.52804285714
587,"2012-08-09",3,1,8,4,1,1,29.477487,62.0417,10.4587,1067.10242891441,6047.45419613179,7114.5566250462
594,"2012-08-16",3,1,8,4,1,1,28.047513,51.9167,9.500332,1240.40737917276,6120.863608213,7361.27098738577
595,"2012-08-17",3,1,8,5,1,1,28.209987,57.0833,15.500718,1295.16835306183,5923.53944755144,7218.70780061328
604,"2012-08-26",3,1,8,0,0,2,25.479987,84.5833,15.333486,1419.59027742764,3756.80640540064,5176.39668282828
618,"2012-09-09",3,1,9,0,0,1,23.79,54.75,15.041232,2383.76411775273,4784.9866121174,7168.75072987013
622,"2012-09-13",3,1,9,4,1,1,23.8875,63.7083,5.5422936,1018.09435819339,6678.73620542399,7696.83056361738
626,"2012-09-17",3,1,9,1,1,2,22.652487,73.4583,10.166714,622.584126046175,5782.86322633478,6405.44735238095
627,"2012-09-18",3,1,9,2,1,2,24.309987,87.25,23.958329,206.314898412696,4291.24306825397,4497.55796666667
631,"2012-09-22",3,1,9,6,0,1,25.35,64.6667,19.000061,2792.82164391455,4604.78902875944,7397.61067267399
644,"2012-10-05",4,1,10,5,1,1,23.985,62.75,7.12545,1099.93696043417,6603.40583202614,7703.34279246032
648,"2012-10-09",4,1,10,2,1,2,17.420013,76.1667,12.7501,378.980136410977,5471.97646358903,5850.9566
658,"2012-10-19",4,1,10,5,1,2,21.969987,81.5,9.041918,861.093045751635,5726.98014393091,6588.07318968254
661,"2012-10-22",4,1,10,1,1,1,19.0125,56.8333,5.4593811,929.604818767511,6120.66078123249,7050.2656
669,"2012-10-30",4,1,10,2,1,2,12.409098,82.5455,14.271603,130.276319291818,4292.84209664225,4423.11841593407
676,"2012-11-06",4,1,11,2,1,1,10.952487,56.7083,11.625371,346.916731251727,4677.04509682963,5023.96182808136
689,"2012-11-19",4,1,11,1,1,2,14.852487,62.3333,15.749489,457.961949909741,4702.60067325043,5160.56262316017
704,"2012-12-04",4,1,12,2,1,1,18.557487,73.375,11.666643,569.86913711698,5775.59853041549,6345.46766753247
708,"2012-12-08",4,1,12,6,0,2,14.885013,91.125,6.792393,599.012194877348,3652.54601616161,4251.55821103896
710,"2012-12-10",4,1,12,1,1,2,16.997487,92.5,12.750636,326.586465262516,4097.20361330891,4423.79007857143
711,"2012-12-11",4,1,12,2,1,2,13.779987,59.6667,19.834479,300.759043416234,4603.71362086948,4904.47266428571
724,"2012-12-24",1,1,12,1,1,2,9.020856,79.1304,5.1744368,157.89141575857,2113.93991111111,2271.83132686968
728,"2012-12-28",1,1,12,5,1,2,9.879987,59,10.416557,71.1336561753415,2455.63693888889,2526.77059506423
